代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
002444,巨星科技,30.00,4.53,1.30,0.10,3.52,3.97,4.81,12.20亿,11.43亿,342.89亿,13.89
688068,热景生物,61.12,4.37,2.56,0.00,4.72,1.34,12.48,2.62亿,9247.47万,56.52亿,亏损
301345,涛涛车业,64.69,4.34,2.69,0.02,6.73,2.79,6.40,1.28亿,2980.00万,19.28亿,17.67
300308,中际旭创,132.59,4.32,5.49,0.00,4.68,1.66,5.88,69.01亿,11.16亿,1479.33亿,29.71
688041,海光信息,136.70,4.30,5.64,-0.07,5.61,2.29,7.97,68.72亿,8.87亿,1211.92亿,156.19
000886,海南高速,8.02,4.29,0.33,0.00,11.18,2.31,11.18,8.66亿,9.78亿,78.42亿,148.74
300757,罗博特科,197.26,4.27,8.07,0.00,5.27,1.07,7.33,15.60亿,1.48亿,292.28亿,322.24
002455,百川股份,8.44,4.20,0.34,0.12,9.08,2.83,9.51,3.80亿,5.08亿,42.84亿,36.62
605020,永和股份,19.88,4.19,0.80,0.00,2.80,1.97,5.45,2.07亿,3.78亿,75.22亿,38.59
300442,润泽科技,59.58,4.16,2.38,0.05,15.69,1.26,10.89,55.72亿,6.14亿,365.95亿,50.82
300959,线上线下,43.38,4.13,1.72,0.00,21.21,2.39,17.26,4.68亿,5227.52万,22.68亿,208.43
000519,中兵红箭,15.72,4.11,0.62,0.06,4.78,3.65,4.90,10.40亿,13.93亿,218.91亿,亏损
600088,中视传媒,20.95,4.07,0.82,-0.14,9.48,0.96,13.06,7.74亿,3.98亿,83.32亿,56.48
603518,锦泓集团,9.81,4.03,0.38,0.10,22.55,3.08,8.16,7.94亿,3.44亿,33.75亿,15.79
832662,方盛股份,20.45,4.02,0.79,0.00,22.48,1.50,10.83,1.16亿,2458.07万,5.03亿,54.59
688298,东方生物,30.29,4.02,1.17,0.00,3.81,3.38,8.89,2.37亿,2.02亿,61.06亿,亏损
600333,长春燃气,5.70,4.01,0.22,0.00,5.07,1.56,6.93,1.75亿,6.09亿,34.71亿,亏损
000338,潍柴动力,13.78,4.00,0.53,0.22,4.28,3.96,5.81,29.35亿,49.69亿,684.75亿,10.74
000906,浙商中拓,7.02,4.00,0.27,0.00,4.34,1.96,6.67,2.11亿,7.02亿,49.28亿,8.92
603629,利通电子,20.81,4.00,0.80,-0.05,15.86,2.41,10.79,8.46亿,2.55亿,53.02亿,76.98
600679,上海凤凰,19.55,3.99,0.75,-0.26,25.83,1.27,19.36,16.36亿,3.38亿,66.12亿,150.62
002335,科华数据,28.03,3.97,1.07,-0.04,16.28,3.03,6.31,18.88亿,4.01亿,112.35亿,40.76
002226,江南化工,5.59,3.90,0.21,-0.18,2.38,3.29,5.02,3.53亿,26.49亿,148.07亿,14.81
300483,首华燃气,9.88,3.89,0.37,0.10,4.95,2.15,7.15,1.25亿,2.59亿,25.61亿,亏损
002272,川润股份,10.74,3.87,0.40,0.09,27.78,1.93,8.41,11.38亿,3.80亿,40.77亿,亏损
688676,金盘科技,38.30,3.85,1.42,-0.23,10.32,2.34,11.14,18.50亿,4.57亿,175.20亿,32.54
603126,中材节能,7.58,3.84,0.28,0.00,16.85,2.67,16.85,7.42亿,6.11亿,46.28亿,128.92
600938,中国海油,28.45,3.83,1.05,0.04,2.88,2.06,3.32,23.13亿,28.42亿,808.51亿,8.69
001211,双枪科技,21.80,3.81,0.80,-0.32,16.15,3.22,8.62,2.44亿,6699.66万,14.61亿,83.17
601798,蓝科高新,7.25,3.72,0.26,-0.14,15.10,2.45,17.02,3.85亿,3.55亿,25.70亿,亏损
300425,中建环能,6.45,3.70,0.23,0.00,14.65,1.28,7.88,6.21亿,6.79亿,43.78亿,140.96
002080,中材科技,13.56,3.67,0.48,-0.07,2.53,1.78,5.20,5.73亿,16.78亿,227.55亿,28.05
001239,永达股份,16.97,3.67,0.60,-0.12,10.71,1.52,9.96,2.03亿,1.14亿,19.35亿,67.64
600000,浦发银行,9.93,3.65,0.35,-0.10,0.40,2.81,5.01,11.56亿,293.52亿,2914.67亿,6.21
300255,常山药业,20.49,3.64,0.72,0.00,4.28,1.73,9.26,7.92亿,9.16亿,187.67亿,1937.38
002616,长青集团,5.48,3.59,0.19,-0.18,16.15,5.67,13.23,4.12亿,4.70亿,25.77亿,24.79
002582,好想你,8.10,3.58,0.28,0.00,23.55,3.29,9.85,6.63亿,3.44亿,27.87亿,亏损
002302,西部建设,7.25,3.57,0.25,0.00,3.58,2.42,7.00,3.27亿,12.62亿,91.52亿,708.44
002221,东华能源,9.62,3.55,0.33,-0.10,1.29,2.02,4.41,1.79亿,14.61亿,140.54亿,86.63
300374,中铁装配,19.26,3.55,0.66,-0.10,13.26,1.44,9.57,5.14亿,2.03亿,39.18亿,亏损
301522,上大股份,40.43,3.53,1.38,0.05,12.45,2.13,5.10,3.60亿,7065.05万,28.56亿,90.41
600778,友好集团,7.48,3.46,0.25,0.00,17.47,1.08,11.62,3.89亿,3.11亿,23.28亿,156.16
603003,*ST龙宇,5.14,3.42,0.17,0.78,5.08,1.96,7.24,9660.86万,3.76亿,19.34亿,亏损
002728,特一药业,9.40,3.41,0.31,-0.11,9.98,1.94,8.58,3.53亿,3.75亿,35.22亿,599.20
301165,锐捷网络,75.10,3.40,2.47,-0.40,36.14,1.86,14.97,19.46亿,6818.18万,51.20亿,77.73
300233,金城医药,13.12,3.39,0.43,0.08,5.14,2.92,7.57,2.50亿,3.70亿,48.53亿,25.01
301213,观想科技,47.39,3.38,1.55,0.04,11.75,1.29,6.96,2.84亿,5171.10万,24.51亿,516.30
300473,德尔股份,24.38,3.35,0.79,0.00,8.17,1.84,5.26,3.00亿,1.50亿,36.56亿,114.33
000421,南京公用,6.49,3.34,0.21,0.00,6.27,1.42,4.62,2.32亿,5.74亿,37.27亿,亏损
002827,高争民爆,32.84,3.33,1.06,0.00,6.35,2.41,8.21,5.84亿,2.76亿,90.64亿,61.31
002277,友阿股份,7.45,3.33,0.24,0.00,34.77,36.39,9.99,36.73亿,13.94亿,103.87亿,68.11
301137,哈焊华通,19.32,3.32,0.62,0.05,7.51,2.90,7.70,1.48亿,1.02亿,19.65亿,155.39
300847,中船汉光,18.73,3.31,0.60,0.11,6.69,2.69,11.58,3.72亿,2.96亿,55.44亿,43.72
000951,中国重汽,17.19,3.31,0.55,0.00,1.83,1.85,5.59,3.72亿,11.75亿,201.96亿,16.22
601899,紫金矿业,15.51,3.26,0.49,0.00,0.92,1.70,3.33,29.04亿,205.57亿,3188.40亿,12.69
002082,万邦德,7.28,3.26,0.23,0.00,4.27,1.35,8.94,1.97亿,6.17亿,44.89亿,73.67
300061,旗天科技,16.21,3.25,0.51,0.00,13.39,2.15,9.04,14.01亿,6.21亿,100.59亿,亏损
003816,中国广核,4.14,3.24,0.13,-0.24,0.73,1.71,5.24,11.85亿,393.35亿,1628.47亿,15.71
600968,海油发展,4.16,3.23,0.13,0.24,0.74,1.78,4.22,3.11亿,101.65亿,422.87亿,11.80
688567,孚能科技,11.54,3.22,0.36,-0.35,2.03,3.25,5.81,2.93亿,12.22亿,141.03亿,亏损
601077,渝农商行,5.86,3.17,0.18,0.17,1.72,1.47,3.87,8.86亿,88.38亿,517.89亿,4.84
601658,邮储银行,5.59,3.14,0.17,0.00,0.34,1.57,4.06,12.83亿,671.22亿,3752.14亿,5.48
603565,中谷物流,10.23,3.12,0.31,0.10,0.87,0.96,4.64,1.87亿,21.00亿,214.84亿,14.53
301021,英诺激光,29.54,3.11,0.89,0.03,7.40,2.04,10.37,3.31亿,1.51亿,44.75亿,3897.32
600019,宝钢股份,6.99,3.10,0.21,-0.14,0.60,1.51,3.54,9.12亿,218.58亿,1527.87亿,19.59
872808,曙光数创,63.89,3.05,1.89,0.00,4.07,1.34,9.23,5.17亿,1.95亿,124.34亿,亏损
600027,华电国际,5.76,3.04,0.17,0.00,1.51,2.00,4.47,7.36亿,85.10亿,490.19亿,8.57
601288,农业银行,5.19,2.98,0.15,0.00,0.22,1.38,3.17,35.85亿,3192.44亿,16568.78亿,6.36
000680,山推股份,9.76,2.95,0.28,0.00,2.36,1.37,7.49,3.02亿,13.08亿,127.66亿,16.29
688603,天承科技,132.00,2.95,3.78,-0.38,4.08,1.30,8.55,1.15亿,2106.46万,27.81亿,100.68
300671,富满微,44.55,2.93,1.27,0.02,10.82,0.98,6.93,10.49亿,2.17亿,96.66亿,亏损
603699,纽威股份,22.25,2.91,0.63,0.00,0.91,1.71,5.04,1.53亿,7.55亿,167.92亿,15.34
002122,汇洲智能,5.67,2.90,0.16,0.00,35.16,1.96,16.15,40.56亿,19.88亿,112.70亿,123.85
600864,哈投股份,7.45,2.90,0.21,0.00,5.09,1.86,7.32,7.74亿,20.81亿,155.00亿,43.71
300154,瑞凌股份,10.68,2.89,0.30,0.00,13.08,1.66,10.69,4.39亿,3.15亿,33.67亿,25.17
600685,中船防务,24.95,2.89,0.70,0.08,2.40,1.97,6.06,4.86亿,8.21亿,204.95亿,141.25
601857,中国石油,8.58,2.88,0.24,0.00,0.14,1.52,3.00,19.10亿,1619.22亿,13892.91亿,8.89
300153,科泰电源,12.60,2.86,0.35,1.78,27.46,1.46,12.49,10.89亿,3.18亿,40.11亿,120.79
000651,格力电器,44.49,2.84,1.23,0.00,1.26,2.01,3.21,30.69亿,55.15亿,2453.82亿,8.51
605118,力鼎光电,18.13,2.84,0.50,-0.11,3.09,2.80,5.56,2.25亿,4.07亿,73.81亿,47.84
001965,招商公路,13.43,2.83,0.37,0.00,0.35,1.04,4.21,3.21亿,68.20亿,915.97亿,16.51
600312,平高电气,19.61,2.83,0.54,0.00,2.43,1.55,5.45,6.50亿,13.57亿,266.09亿,23.29
300561,汇金科技,52.59,2.81,1.44,0.02,27.64,0.88,7.68,26.20亿,1.80亿,94.84亿,亏损
300441,鲍斯股份,9.98,2.78,0.27,0.00,10.95,1.94,9.78,6.91亿,6.27亿,62.57亿,6.86
600398,海澜之家,6.67,2.77,0.18,0.00,1.92,1.49,5.70,6.13亿,48.03亿,320.34亿,12.59
688408,中信博,72.24,2.77,1.95,-0.52,1.72,1.46,6.17,2.53亿,2.02亿,146.20亿,27.71
603489,八方股份,27.63,2.75,0.74,0.00,3.57,1.66,7.92,2.26亿,2.35亿,64.93亿,95.01
301089,拓新药业,31.60,2.73,0.84,0.03,6.79,2.66,8.88,1.94亿,9097.55万,28.75亿,亏损
300323,华灿光电,7.96,2.71,0.21,-0.25,23.78,6.86,11.36,17.11亿,8.79亿,69.98亿,亏损
